name,smiles,category
decoy_ABYGSZMCWVXFCQ-UHFFFAOYSA-N,CCCC(CCC)CCC,decoy_C10H22
decoy_AJSJXSBFZDIRIS-UHFFFAOYSA-N,C=C(C)C1=CCC(C)CC1,decoy_C10H16
decoy_AOGQPLXWSUTHQB-UHFFFAOYSA-N,CCCCCCOC(C)=O,decoy_C8H16O2
decoy_AVVVXUXMKWPKAJ-UHFFFAOYSA-N,CCc1cc(C)ccc1O,decoy_C9H12O
decoy_AXPZDYVDTMMLNB-UHFFFAOYSA-N,CCOCc1ccccc1,decoy_C9H12O
decoy_AZLAWGCUDHUQDB-UHFFFAOYSA-N,CCCC(CCC)C(C)C,decoy_C10H22
decoy_BDCFWIDZNLCTMF-UHFFFAOYSA-N,CC(C)(O)c1ccccc1,decoy_C9H12O
decoy_BLMBNEVGYRXFNA-UHFFFAOYSA-N,COc1cccc(C)c1C,decoy_C9H12O
decoy_BPRYUXCVCCNUFE-UHFFFAOYSA-N,Cc1cc(C)c(O)c(C)c1,decoy_C9H12O
decoy_BQOFWKZOCNGFEC-UHFFFAOYSA-N,CC1=CCC2C(C1)C2(C)C,decoy_C10H16
decoy_BSGBGTJQKZSUTQ-UHFFFAOYSA-N,COC1CCCCC1OC,decoy_C8H16O2
decoy_BUQNXFUMFXFRKC-UHFFFAOYSA-N,CCc1ccc(O)cc1C,decoy_C9H12O
decoy_BVEYJWQCMOVMAR-UHFFFAOYSA-N,CCCC(=O)C(O)CCC,decoy_C8H16O2
decoy_BYLJEQIUXOYKOB-UHFFFAOYSA-N,C=CC(C)(C)C=CC(=C)C,decoy_C10H16
decoy_CIPXOBMYVWRNLL-UHFFFAOYSA-N,CC(C)=C1C=CC(C)CC1,decoy_C10H16
decoy_CIRRFAQIWQFQSS-UHFFFAOYSA-N,CCc1cccc(C)c1O,decoy_C9H12O
decoy_CLFRCXCBWIQVRN-UHFFFAOYSA-N,O=Cc1cc(O)ccc1O,decoy_C7H6O3
decoy_CPIVYSAVIPTCCX-UHFFFAOYSA-N,CC(=O)OC(C)CC(C)C,decoy_C8H16O2
decoy_CPUVYIYQJVQFRD-UHFFFAOYSA-N,C=CC1(C)CC=C(C)CC1,decoy_C10H16
decoy_CQLYXIUHVFRXLT-UHFFFAOYSA-N,COCCc1ccccc1,decoy_C9H12O
decoy_CRBJBYGJVIBWIY-UHFFFAOYSA-N,CC(C)c1ccccc1O,decoy_C9H12O
decoy_CRPUJAZIXJMDBK-UHFFFAOYSA-N,C=C1C2CCC(C2)C1(C)C,decoy_C10H16
decoy_CRZLECOBVHRLLB-UHFFFAOYSA-N,CC(C)=C=C1C(C)C1(C)C,decoy_C10H16
decoy_CUFNKYGDVFVPHO-UHFFFAOYSA-N,c1ccc2cccc-2cc1,decoy_C10H8
decoy_DAVFJRVIVZOKKS-UHFFFAOYSA-N,Cc1ccc(CCO)cc1,decoy_C9H12O
decoy_DBULLUBYDONGLT-UHFFFAOYSA-N,CCCCCC(C)(C)CC,decoy_C10H22
decoy_DGEMPTLPTFNEHJ-UHFFFAOYSA-N,CCC(CC)CCC(C)C,decoy_C10H22
decoy_DIRDKDDFAMNBNY-UHFFFAOYSA-N,CCC(C)C(=O)OC(C)C,decoy_C8H16O2
decoy_DOYJTLUPPPUSMD-UHFFFAOYSA-N,CCCC(C)C(C)CCC,decoy_C10H22
decoy_DSNYFFJTZPIKFZ-UHFFFAOYSA-N,CCCOc1ccccc1,decoy_C9H12O
decoy_DYUQAZSOFZSPHD-UHFFFAOYSA-N,CCC(O)c1ccccc1,decoy_C9H12O
decoy_FDQQNNZKEJIHMS-UHFFFAOYSA-N,Cc1cc(O)cc(C)c1C,decoy_C9H12O
decoy_FJIDKRPZJBUHME-UHFFFAOYSA-N,N#CC1Cc2ccccc21,decoy_C9H7N
decoy_FJKROLUGYXJWQN-UHFFFAOYSA-N,O=C(O)c1ccc(O)cc1,decoy_C7H6O3
decoy_FQXGHZNSUOHCLO-UHFFFAOYSA-N,CC1(C)C(O)C(C)(C)C1O,decoy_C8H16O2
decoy_FSQXTURTITWAAE-UHFFFAOYSA-N,CCCOC1CCCCO1,decoy_C8H16O2
decoy_GFNZJAUVJCGWLW-UHFFFAOYSA-N,COc1c(C)cccc1C,decoy_C9H12O
decoy_GGFFPUFVAVUWAN-UHFFFAOYSA-N,C=CC#CCCCCCC,decoy_C10H16
decoy_GHXNRYVDXNZXID-UHFFFAOYSA-N,CCC(CC)(CC)C(=O)O,decoy_C8H16O2
decoy_GJYKUZUTZNTBEC-UHFFFAOYSA-N,CC1C=CC2(C(C)C)CC12,decoy_C10H16
decoy_GOQRXDTWKVYHJH-UHFFFAOYSA-N,C=C1CCC(C(=C)C)CC1,decoy_C10H16
decoy_GPBUTTSWJNPYJL-UHFFFAOYSA-N,CCCCCCC(C)(C)C,decoy_C10H22
decoy_GPKRWHGIASNHBE-UHFFFAOYSA-N,CC1CC(C)OC(C)(C)O1,decoy_C8H16O2
decoy_GQVMHMFBVWSSPF-UHFFFAOYSA-N,CC=C(C)C=CC=C(C)C,decoy_C10H16
decoy_GRWFGVWFFZKLTI-UHFFFAOYSA-N,CC1=CCC2CC1C2(C)C,decoy_C10H16
decoy_GSFPEKGMYODGNK-UHFFFAOYSA-N,C=C(C)C#CCCCCC,decoy_C10H16
decoy_HAMAIVSPUXRZEN-UHFFFAOYSA-N,CCCC#CC=CCCC,decoy_C10H16
decoy_HDNRAPAFJLXKBV-UHFFFAOYSA-N,CCc1ccc(OC)cc1,decoy_C9H12O
decoy_HLHKYPRYFGATQL-UHFFFAOYSA-N,C1=CC23C=CC2(C=C1)C=C3,decoy_C10H8
decoy_HOAAQUNESXYFDT-UHFFFAOYSA-N,CCCC(C)CCC(C)C,decoy_C10H22
decoy_HQLKZWRSOHTERR-UHFFFAOYSA-N,CCC(CC)COC(C)=O,decoy_C8H16O2
decoy_HSOMNBKXPGCNBH-UHFFFAOYSA-N,CCCCC(C)(CC)CC,decoy_C10H22
decoy_HVVZVBWIBBTXAJ-UHFFFAOYSA-N,C=C1C=Cc2ccccc21,decoy_C10H8
decoy_HXQDUXXBVMMIKL-UHFFFAOYSA-N,CC(C)(C)CCC(C)(C)C,decoy_C10H22
